Date;demandaEquipos;modelo
2015-06-21;0;xiaomiX3
2015-06-28;0;xiaomiX3
2015-07-05;0;xiaomiX3
2015-07-12;0;xiaomiX3
2015-07-19;0;xiaomiX3
2015-07-26;0;xiaomiX3
2015-08-02;0;xiaomiX3
2015-08-09;0;xiaomiX3
2015-08-16;0;xiaomiX3
2015-08-23;0;xiaomiX3
2015-08-30;0;xiaomiX3
2015-09-06;0;xiaomiX3
2015-09-13;0;xiaomiX3
2015-09-20;0;xiaomiX3
2015-09-27;0;xiaomiX3
2015-10-04;0;xiaomiX3
2015-10-11;0;xiaomiX3
2015-10-18;0;xiaomiX3
2015-10-25;0;xiaomiX3
2015-11-01;0;xiaomiX3
2015-11-08;0;xiaomiX3
2015-11-15;0;xiaomiX3
2015-11-22;0;xiaomiX3
2015-11-29;0;xiaomiX3
2015-12-06;0;xiaomiX3
2015-12-13;0;xiaomiX3
2015-12-20;0;xiaomiX3
2015-12-27;0;xiaomiX3
2016-01-03;0;xiaomiX3
2016-01-10;0;xiaomiX3
2016-01-17;0;xiaomiX3
2016-01-24;0;xiaomiX3
2016-01-31;0;xiaomiX3
2016-02-07;0;xiaomiX3
2016-02-14;0;xiaomiX3
2016-02-21;0;xiaomiX3
2016-02-28;0;xiaomiX3
2016-03-06;0;xiaomiX3
2016-03-13;0;xiaomiX3
2016-03-20;0;xiaomiX3
2016-03-27;0;xiaomiX3
2016-04-03;0;xiaomiX3
2016-04-10;0;xiaomiX3
2016-04-17;0;xiaomiX3
2016-04-24;0;xiaomiX3
2016-05-01;0;xiaomiX3
2016-05-08;0;xiaomiX3
2016-05-15;0;xiaomiX3
2016-05-22;8;xiaomiX3
2016-05-29;15;xiaomiX3
2016-06-05;10;xiaomiX3
2016-06-12;100;xiaomiX3
2015-06-21;0;GalaxyS20
2015-06-28;0;GalaxyS20
2015-07-05;0;GalaxyS20
2015-07-12;0;GalaxyS20
2015-07-19;0;GalaxyS20
2015-07-26;0;GalaxyS20
2015-08-02;0;GalaxyS20
2015-08-09;0;GalaxyS20
2015-08-16;0;GalaxyS20
2015-08-23;0;GalaxyS20
2015-08-30;0;GalaxyS20
2015-09-06;0;GalaxyS20
2015-09-13;0;GalaxyS20
2015-09-20;0;GalaxyS20
2015-09-27;0;GalaxyS20
2015-10-04;0;GalaxyS20
2015-10-11;0;GalaxyS20
2015-10-18;0;GalaxyS20
2015-10-25;0;GalaxyS20
2015-11-01;0;GalaxyS20
2015-11-08;0;GalaxyS20
2015-11-15;0;GalaxyS20
2015-11-22;0;GalaxyS20
2015-11-29;0;GalaxyS20
2015-12-06;0;GalaxyS20
2015-12-13;0;GalaxyS20
2015-12-20;0;GalaxyS20
2015-12-27;0;GalaxyS20
2016-01-03;0;GalaxyS20
2016-01-10;0;GalaxyS20
2016-01-17;0;GalaxyS20
2016-01-24;0;GalaxyS20
2016-01-31;0;GalaxyS20
2016-02-07;0;GalaxyS20
2016-02-14;0;GalaxyS20
2016-02-21;0;GalaxyS20
2016-02-28;0;GalaxyS20
2016-03-06;0;GalaxyS20
2016-03-13;6;GalaxyS20
2016-03-20;18;GalaxyS20
2016-03-27;32;GalaxyS20
2016-04-03;20;GalaxyS20
2016-04-10;12;GalaxyS20
2016-04-17;22;GalaxyS20
2016-04-24;15;GalaxyS20
2016-05-01;11;GalaxyS20
2016-05-08;11;GalaxyS20
2016-05-15;11;GalaxyS20
2016-05-22;10;GalaxyS20
2016-05-29;9;GalaxyS20
2016-06-05;11;GalaxyS20
2016-06-12;16;GalaxyS20
2015-06-21;14;iphone8
2015-06-28;28;iphone8
2015-07-05;23;iphone8
2015-07-12;17;iphone8
2015-07-19;14;iphone8
2015-07-26;30;iphone8
2015-08-02;15;iphone8
2015-08-09;15;iphone8
2015-08-16;15;iphone8
2015-08-23;16;iphone8
2015-08-30;15;iphone8
2015-09-06;19;iphone8
2015-09-13;16;iphone8
2015-09-20;16;iphone8
2015-09-27;15;iphone8
2015-10-04;14;iphone8
2015-10-11;24;iphone8
2015-10-18;33;iphone8
2015-10-25;22;iphone8
2015-11-01;20;iphone8
2015-11-08;19;iphone8
2015-11-15;19;iphone8
2015-11-22;20;iphone8
2015-11-29;34;iphone8
2015-12-06;28;iphone8
2015-12-13;26;iphone8
2015-12-20;25;iphone8
2015-12-27;27;iphone8
2016-01-03;34;iphone8
2016-01-10;29;iphone8
2016-01-17;40;iphone8
2016-01-24;39;iphone8
2016-01-31;32;iphone8
2016-02-07;28;iphone8
2016-02-14;27;iphone8
2016-02-21;37;iphone8
2016-02-28;42;iphone8
2016-03-06;38;iphone8
2016-03-13;38;iphone8
2016-03-20;59;iphone8
2016-03-27;44;iphone8
2016-04-03;35;iphone8
2016-04-10;38;iphone8
2016-04-17;41;iphone8
2016-04-24;89;iphone8
2016-05-01;44;iphone8
2016-05-08;35;iphone8
2016-05-15;34;iphone8
2016-05-22;30;iphone8
2016-05-29;29;iphone8
2016-06-05;29;iphone8
2016-06-12;47;iphone8
